column,table,meaning,coding_research_use
prch_f,candidates,Raw IPEDS parent/child reporting indicator for Finance.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_f,candidates,Raw UNITID of the parent reporting Finance for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_sfa,candidates,Raw IPEDS parent/child reporting indicator for Student Financial Aid.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_sfa,candidates,Raw UNITID of the parent reporting Student Financial Aid for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_gr,candidates,Raw IPEDS parent/child reporting indicator for Graduation Rates.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_gr,candidates,Raw UNITID of the parent reporting Graduation Rates for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_sa,candidates,Raw IPEDS parent/child reporting indicator for historical Salaries component.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_sa,candidates,Raw UNITID of the parent reporting historical Salaries component for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_s,candidates,Raw IPEDS parent/child reporting indicator for historical Fall Staff component.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_s,candidates,Raw UNITID of the parent reporting historical Fall Staff component for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_eap,candidates,Raw IPEDS parent/child reporting indicator for historical Employees by Assigned Position.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_eap,candidates,Raw UNITID of the parent reporting historical Employees by Assigned Position for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
postsec,candidates,Indicator that the institution is primarily postsecondary.,"Raw annual code; recent coding uses 1 primarily postsecondary and 2 not primarily postsecondary. This is a scope descriptor, not an OPEID crosswalk rule."
f1systyp,candidates,Membership in a multi-institution or multicampus organization.,"Raw annual code; recent 1 yes, 2 no, -1 not reported, -2 not applicable. Membership alone does not establish shared FSA or IPEDS reporting scope."
f1sysnam,candidates,Name of the multi-institution or multicampus organization.,Raw annual name or sentinel. It is not an allocation key or an institution identifier.
rptmth,candidates,Reporting method for charges and student outcome/aid cohorts.,"Raw annual categorical code. Recent 1 denotes academic-year charges with fall cohorts; 2 program charges/full-year cohorts; 3 academic-year charges/full-year cohorts; -1 not reported, -2 not applicable. Do not assume calendar equivalence across institutions."
prch_hr,candidates,Raw IPEDS parent/child reporting indicator for Human Resources.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_hr,candidates,Raw UNITID of the parent reporting Human Resources for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_e12,candidates,Raw IPEDS parent/child reporting indicator for 12-Month Enrollment.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_e12,candidates,Raw UNITID of the parent reporting 12-Month Enrollment for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_gr2,candidates,Raw IPEDS parent/child reporting indicator for Graduation Rates at 200 percent of normal time.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_gr2,candidates,Raw UNITID of the parent reporting Graduation Rates at 200 percent of normal time for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
f1syscod,candidates,IPEDS identifier for a multi-institution or multicampus organization.,Raw annual organization code or sentinel; distinct from UNITID and OPEID. Do not use it to distribute or automatically aggregate FSA aid.
prch_al,candidates,Raw IPEDS parent/child reporting indicator for Academic Libraries.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_al,candidates,Raw UNITID of the parent reporting Academic Libraries for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_om,candidates,Raw IPEDS parent/child reporting indicator for Outcome Measures.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_om,candidates,Raw UNITID of the parent reporting Outcome Measures for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prchtp_f,candidates,Raw type of Finance parent/child reporting arrangement.,Annual categorical code describing the Finance joint-reporting arrangement; distinct from PRCH_F role and IDX_F parent identity. Positive values trigger conservative strict exclusion. Interpret detailed values with that annual FLAGS dictionary; not a rule for allocating FSA aid. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
prch_adm,candidates,Raw IPEDS parent/child reporting indicator for Admissions.,"Annual-source categorical code, not a common hierarchy across all components. -2 generally means not applicable; missing/unavailable is retained. Positive codes are conservatively flagged for strict exclusion; meanings and partial-reporting categories vary by year. Use the corresponding annual source dictionary before a component-specific analysis. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_adm,candidates,Raw UNITID of the parent reporting Admissions for this IPEDS record.,Positive values identify a reporting parent in this component; -2 generally means not applicable. Missing or nonnumeric source tokens are not zero or evidence of independent reporting. Never use this field to allocate FSA aid or as a universal parent crosswalk. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate.
opeid_scope_root,candidates,Conservative diagnostic group of the candidate OPEID.,Six-character string: 0 plus full-OPEID characters 2-6. Accounts for possible first-digit additional-location overflow. Review only; not an assignment or allocation key.
ipeds_directory_unitid,bridge,Original screened HD-only exact-match tag before official-crosswalk reconciliation.,Nullable integer copied from the base directory lookup: one exact full-OPEID candidate passing its administrative/inactivity screen. Preserve for comparison with resolved unitid. A difference or null need not mean the official annual resolution is absent.
ipeds_directory_match_status,bridge,Explicit copy of the HD-only lookup status before crosswalk reconciliation.,"HD-only status: exact_unique; no_exact_match; multiple_exact_unitids; ipeds_year_unavailable; exact_unique_administrative_unit; exact_unique_inactive. This is prior evidence, not final resolution; use ipeds_resolution_status and unitid for the reconciled identity."
ipeds_geography_class,bridge,FSA reporting-location geography based on available canonical and program-family descriptors.,"foreign_explicit: FC state or foreign school type; us_states_dc; territories_and_freely_associated_states: AS/GU/MP/PR/VI/FM/MH/PW; conflicting_geography: foreign and domestic indicators coexist; unknown otherwise. Blank state is not automatically foreign. This describes FSA source evidence, not IPEDS address."
ipeds_crosswalk_available,bridge,An official crosswalk record exists for this full OPEID and selected reference year.,Boolean. False includes missing crosswalk year and absent OPEID entry; inspect source manifest to distinguish them. True does not imply a site match: cw_source_code=5 records official no match.
ipeds_crosswalk_site_unitids_json,bridge,Complete-token UNITID candidates from official primary and additional site fields.,JSON array of distinct sorted integers. Parent references excluded. Treat as a lower bound when cw_site_parse_complete is false; multiple members prohibit selecting the primary alone.
ipeds_crosswalk_parent_unitids_json,bridge,Official UNITIDs referenced for the FSA main location.,JSON array of distinct sorted integers derived from IPEDSMain. Context and overlap review only; never substitute for a missing site identity or allocate amounts.
ipeds_directory_candidate_unitids_json,bridge,Full-OPEID candidate UNITIDs in the selected-year annual directory.,JSON array of distinct sorted integers including administrative/inactive records. Does not use six-digit or name fallback.
ipeds_resolution_status,bridge,Result of annual directory and official site-relation reconciliation.,"Resolved: official_site_and_directory_agree, official_site_alias_annual_unitid_verified, unique_annual_directory_only. Unresolved: crosswalk_site_parse_incomplete, multiple_official_site_unitids, directory_crosswalk_identity_conflict, multiple_nonadministrative_directory_unitids, crosswalk_site_missing_annual_directory, multiple_exact_directory_unitids, annual_directory_unavailable, no_annual_site_match. A resolved status still requires eligibility/scope interpretation. fsa_ipeds_geography_identity_conflict blocks an otherwise resolved identity when explicit foreign/domestic evidence contradicts the candidate. noninstitutional_source_placeholder identifies a reviewed accounting placeholder retained in raw totals but excluded from institution assignment."
ipeds_annual_identity_eligible,bridge,A singleton annual identity was resolved and is not an administrative office.,"Boolean. Does not require longitudinal stability or independently certify current participation/activity, family-specific identity recovery, descriptor quality, scope comparability, or absence of duplicated program measures. Apply the relevant downstream eligibility and collision checks."
ipeds_identity_is_administrative,bridge,The resolved directory record is an administrative office.,True when selected sector=0; such identities are retained in unitid but excluded from annual institutional eligibility.
ipeds_title_iv_status,bridge,Year-aware interpretation of resolved OPEFLAG.,participating=1; branch_of_participating_institution=2; deferment_only=3; code4 is eligible_out_of_scope_or_historical_definition in1999/2001 and new_participant otherwise; new_spring_participant=8 from2004; not_participating_with_opeid=5; not_participating_without_opeid=6; stopped_participating=7; unknown otherwise.
ipeds_activity_code,bridge,Detailed ACT status of resolved annual UNITID.,"Raw code, duplicate of ipeds_act. Retain closed/inactive identities for interpretation; activity must be screened for the intended analysis."
ipeds_current_year_active_code,bridge,CYACTIVE status of resolved annual UNITID.,"Raw code, duplicate of ipeds_cyactive. Active/current-year records can still include closures with reportable data."
ipeds_closed_with_data,bridge,Resolved institution has ACT=M in the annual directory.,Boolean. Indicates a current-year closure with reportable data; do not confuse with zero activity or automatic removal from every historical analysis.
ipeds_identity_uses_historical_relation,bridge,The associated official crosswalk record has retrospective Source3.,"Boolean flag based on the available official record, including unresolved rows. Source3 uses relationships established in other years; it does not prove every PEPS identifier was contemporaneous."
ipeds_identity_strict_contemporaneous,bridge,Resolved UNITID is also the sole full-OPEID match in the same annual directory.,"Boolean. A narrow identity-corroboration diagnostic, not scope certification or the restrictive longitudinal eligibility flag; administrative status is checked separately."
ipeds_scope_alignment,bridge,Explicit distinction between identity resolution and aid reporting scope.,institution_identity_only_aid_scope_unverified when any UNITID is resolved; unresolved_no_site_allocation otherwise. No amounts are allocated to parent or child institutions.
ipeds_has_other_parent_unitid,bridge,At least one official main-location reference differs from resolved UNITID.,Boolean; requires a resolved unitid and a different member of IPEDSMain. False does not prove absent parent reporting when metadata is unavailable.
ipeds_component_scope_review_required,bridge,At least one of the five examined components requires additional scope review.,"True if Finance, Student Aid, Fall Enrollment, Completions or12-month Enrollment has a parent/child role, undocumented code, inconsistent reference or unavailable metadata. Inspect component-specific fields; do not apply a universal exclusion to every research outcome."
ipeds_finance_scope,bridge,Annual parent/child reporting interpretation for Finance.,"no_parent_child_relation_reported: PRCH=-2 and IDX=-2; parent: PRCH=1; full_child: PRCH=2; metadata_unavailable_or_invalid for absent/invalid fields; undocumented_code for an unrecognized annual role; parent_reference_without_role when PRCH=-2 but IDX identifies a parent. Finance also distinguishes partial_child=3, full_child_nonpostsecondary_parent=4, partial_child_nonpostsecondary_parent=5, and partial_parent_and_child=6 from2016 onward. This scope belongs to the resolved UNITID and this component only; it never allocates FSA measures."
ipeds_finance_parent_reference_missing,bridge,Child-type role lacks a usable parent UNITID reference for Finance.,"Boolean: PRCH in{2,3,6} and IDX is absent/nonpositive. Complements the scope role; false is not proof that all scope metadata exist. Codes4/5 referring to a nonpostsecondary parent are not treated as missing an IPEDS parent by this flag."
ipeds_student_aid_scope,bridge,Annual parent/child reporting interpretation for Student Aid.,no_parent_child_relation_reported: PRCH=-2 and IDX=-2; parent: PRCH=1; full_child: PRCH=2; metadata_unavailable_or_invalid for absent/invalid fields; undocumented_code for an unrecognized annual role; parent_reference_without_role when PRCH=-2 but IDX identifies a parent. This scope belongs to the resolved UNITID and this component only; it never allocates FSA measures.
ipeds_student_aid_parent_reference_missing,bridge,Child-type role lacks a usable parent UNITID reference for Student Aid.,"Boolean: PRCH in{2,3,6} and IDX is absent/nonpositive. Complements the scope role; false is not proof that all scope metadata exist. Codes4/5 referring to a nonpostsecondary parent are not treated as missing an IPEDS parent by this flag."
ipeds_fall_enrollment_scope,bridge,Annual parent/child reporting interpretation for Fall Enrollment.,no_parent_child_relation_reported: PRCH=-2 and IDX=-2; parent: PRCH=1; full_child: PRCH=2; metadata_unavailable_or_invalid for absent/invalid fields; undocumented_code for an unrecognized annual role; parent_reference_without_role when PRCH=-2 but IDX identifies a parent. This scope belongs to the resolved UNITID and this component only; it never allocates FSA measures.
ipeds_fall_enrollment_parent_reference_missing,bridge,Child-type role lacks a usable parent UNITID reference for Fall Enrollment.,"Boolean: PRCH in{2,3,6} and IDX is absent/nonpositive. Complements the scope role; false is not proof that all scope metadata exist. Codes4/5 referring to a nonpostsecondary parent are not treated as missing an IPEDS parent by this flag."
ipeds_completions_scope,bridge,Annual parent/child reporting interpretation for Completions.,no_parent_child_relation_reported: PRCH=-2 and IDX=-2; parent: PRCH=1; full_child: PRCH=2; metadata_unavailable_or_invalid for absent/invalid fields; undocumented_code for an unrecognized annual role; parent_reference_without_role when PRCH=-2 but IDX identifies a parent. This scope belongs to the resolved UNITID and this component only; it never allocates FSA measures.
ipeds_completions_parent_reference_missing,bridge,Child-type role lacks a usable parent UNITID reference for Completions.,"Boolean: PRCH in{2,3,6} and IDX is absent/nonpositive. Complements the scope role; false is not proof that all scope metadata exist. Codes4/5 referring to a nonpostsecondary parent are not treated as missing an IPEDS parent by this flag."
ipeds_twelve_month_enrollment_scope,bridge,Annual parent/child reporting interpretation for 12-month Enrollment.,no_parent_child_relation_reported: PRCH=-2 and IDX=-2; parent: PRCH=1; full_child: PRCH=2; metadata_unavailable_or_invalid for absent/invalid fields; undocumented_code for an unrecognized annual role; parent_reference_without_role when PRCH=-2 but IDX identifies a parent. This scope belongs to the resolved UNITID and this component only; it never allocates FSA measures.
ipeds_twelve_month_enrollment_parent_reference_missing,bridge,Child-type role lacks a usable parent UNITID reference for 12-month Enrollment.,"Boolean: PRCH in{2,3,6} and IDX is absent/nonpositive. Complements the scope role; false is not proof that all scope metadata exist. Codes4/5 referring to a nonpostsecondary parent are not treated as missing an IPEDS parent by this flag."
prch_cos,bridge,Raw parent/child reporting role for the Cost component.,"Annual code from FLAGS, introduced in recent source schemas. -2 generally indicates no parent/child relation. Missing/invalid metadata is not independent reporting. Use annual dictionary and study-specific component scope; no FSA allocation. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_cos,bridge,Raw parent UNITID reference for the Cost component.,"Positive UNITID identifies this component reporting parent; -2 generally not applicable. Source metadata, not a universal campus hierarchy or an allocation rule. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
prch_cos,candidates,Raw parent/child reporting role for the Cost component.,"Annual code from FLAGS, introduced in recent source schemas. -2 generally indicates no parent/child relation. Missing/invalid metadata is not independent reporting. Use annual dictionary and study-specific component scope; no FSA allocation. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
idx_cos,candidates,Raw parent UNITID reference for the Cost component.,"Positive UNITID identifies this component reporting parent; -2 generally not applicable. Source metadata, not a universal campus hierarchy or an allocation rule. In bridge these raw fields describe the resolved UNITID; in candidates they describe that individual candidate."
cw_source_row,bridge,"Excel row number in the Crosswalk sheet, header at row1.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_source_path,bridge,Absolute path of input workbook in this build.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_source_sha256,bridge,SHA-256 of exact input workbook bytes.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_preliminary,bridge,"True for filename marked _prelim, currently CW2024_prelim; not final-vintage evidence.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_source_code,bridge,1=HD/header;2=institution reporting map;3=relationship established using other years;4=official manual comparison;5=no match.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_source_method,bridge,Readable label for cw_source_code. Source3 requires explicit retrospective-history treatment.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_ipeds_reporting_code,bridge,1=OPEID main and locations report under one UNITID;2=multiple UNITIDs;-2=unknown. Does not override nonempty AddMatch.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_parent_opeid8,bridge,"Normalized OPEIDMain, identifying FSA main location. Reference only; not allocation or direct matching key.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_site_candidate_count,bridge,Number of distinct valid UNITIDs in IPEDSMatch union AddMatch. An incomplete parse means this is a lower bound.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_primary_unitid,bridge,Parsed primary IPEDSMatch UNITID; not an assigned UNITID when additional relations exist.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_additional_candidate_count,bridge,Distinct valid AddMatch UNITIDs; raw duplicates retained in cw_raw_AddMatch.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_parent_candidate_count,bridge,"Distinct valid IPEDSMain UNITIDs, parent references only.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_has_additional_match,bridge,At least one valid additional UNITID. Invalid additional tokens remain documented in parse issues.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_multiple_site_unitids,bridge,More than one distinct valid site candidate; never collapse by taking primary.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_relation_parse_complete,bridge,All primary/additional/parent fields parsed completely using full six-digit UNITID tokens and documented pipe separator.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_site_parse_complete,bridge,Both IPEDSMatch and AddMatch parsed completely. False blocks a singleton claim.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_parse_issues_json,bridge,JSON mapping malformed source fields to their unparsed tokens. Valid tokens and original full strings are still preserved.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_site_parent_unitids_differ,bridge,Both site and parent candidate sets nonempty and unequal; signals different site versus main-location scope.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_official_no_match,bridge,No site candidates and complete site parse. Inspect cw_source_code to distinguish official Source5 from anomalous empty records.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_has_change_notes,bridge,At least one nonmissing COA1..COA5 entry. False does not certify no reorganization.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_has_prior_id_notes,bridge,"Nonmissing PY_UNITID/PY_OPEID/PYNotes, which may repeat current IDs without an actual change.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_OPEID,bridge,Original OPEID cell text.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_IPEDSMatch,bridge,Original primary UNITID or no-match sentinel.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_AddMatch,bridge,Original pipe-delimited additional current-reference-year UNITIDs. Six published University of Phoenix cells are truncated mid-ID.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_Source,bridge,Original official match-source code.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_PEPSSchname,bridge,PEPS main institution name; may reflect later PEPS vintage.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_PEPSLocname,bridge,"PEPS location name; useful corroboration, never a name-only identity assignment.","Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_PEPSEligCert,bridge,PEPS eligibility/certification/approval evidence; triplet detail unavailable before2005. Not necessarily contemporaneous operating status.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_IPEDSInstnm,bridge,Name of primary IPEDS matched institution.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_IPEDSPSET4FLG,bridge,Primary IPEDS match postsecondary/Title IV code;9 is inactive and -2 unavailable. Check annual directory flags.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_f1sysnam,bridge,IPEDS multi-institution system name; common ownership is not proof of common reporting scope.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_IPEDSrpt,bridge,Original one-versus-multiple-IPEDSinstitutions reporting code.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
cw_raw_OPEIDMain,bridge,Original FSA main-location OPEID reference.,"Official crosswalk evidence for the selected ipeds_year, retained without aid allocation. Missing when no annual OPEID crosswalk entry exists. Read together with cw_source_code, candidate cardinality, parse-completeness and preliminary-vintage flags."
